Run_ID,Scenario_Type,Attack_Style,Attack_PPS,Attack_Style2_Multiplier,FW_PPS_Capacity,Scrubber_Choice,Goodput_Mbps,Successful_Transactions,Avg_RTT_ms,P95_RTT_ms,FW_Packets_Processed,FW_Dropped_Mitigation,FW_Dropped_Queue,FW_Avg_Queue_Len,Scrubber1_ID,S1_Packets_Processed,S1_Dropped_Mitigation,S1_Dropped_Queue,S1_Avg_Queue_Len,Scrubber2_ID,S2_Packets_Processed,S2_Dropped_Mitigation,S2_Dropped_Queue,S2_Avg_Queue_Len,Server_Dropped_Queue
Dist-GoodQ_pps-5000_fw-8000_mult-10,Distributed,ATTACK_STYLE_2,5000,10,8000,SW3,0.16,48,148.08,382.02,16026,15993,0,342.28,SW3,16703,16670,0,5.49,SW4,16702,16670,0,5.49,0
Dist-WideP_pps-5000_fw-8000_mult-10,Distributed,ATTACK_STYLE_2,5000,10,8000,SW1,0.16,48,145.06,382.02,16026,15993,0,342.28,SW1,16701,16668,0,5.50,SW2,16700,16668,0,5.49,0
Dist-GoodQ_pps-5000_fw-8000_mult-20,Distributed,ATTACK_STYLE_2,5000,20,8000,SW3,0.16,48,148.08,382.02,16026,15993,0,342.28,SW3,16703,16670,0,5.49,SW4,16702,16670,0,5.49,0
Dist-WideP_pps-5000_fw-8000_mult-20,Distributed,ATTACK_STYLE_2,5000,20,8000,SW1,0.12,36,1282.97,1947.12,16025,15993,0,342.12,SW1,10025,10000,5708,864.03,SW2,10026,10000,5706,863.85,0
Dist-GoodQ_pps-5000_fw-8000_mult-30,Distributed,ATTACK_STYLE_2,5000,30,8000,SW3,0.16,48,148.08,382.02,16026,15993,0,342.28,SW3,16703,16670,0,5.49,SW4,16702,16670,0,5.49,0
Dist-WideP_pps-5000_fw-8000_mult-30,Distributed,ATTACK_STYLE_2,5000,30,8000,SW1,0.06,19,1486.83,1850.25,16025,15993,0,342.03,SW1,6682,6667,9047,871.58,SW2,6684,6667,9049,870.25,0
Dist-GoodQ_pps-5000_fw-8000_mult-40,Distributed,ATTACK_STYLE_2,5000,40,8000,SW3,0.16,48,148.08,382.02,16026,15993,0,342.28,SW3,16703,16670,0,5.49,SW4,16702,16670,0,5.49,0
Dist-WideP_pps-5000_fw-8000_mult-40,Distributed,ATTACK_STYLE_2,5000,40,8000,SW1,0.05,16,818.90,2335.16,16024,15993,0,341.93,SW1,5015,5000,10712,861.78,SW2,5014,5000,10712,861.74,0
Dist-GoodQ_pps-5000_fw-8000_mult-50,Distributed,ATTACK_STYLE_2,5000,50,8000,SW3,0.16,48,148.08,382.02,16026,15993,0,342.28,SW3,16703,16670,0,5.49,SW4,16702,16670,0,5.49,0
Dist-WideP_pps-5000_fw-8000_mult-50,Distributed,ATTACK_STYLE_2,5000,50,8000,SW1,0.05,15,2156.47,2823.92,16024,15993,0,341.88,SW1,4014,4000,11712,849.75,SW2,4012,4000,11712,850.14,0
