Run_ID,Scenario_Type,Attack_Style,Attack_PPS,Attack_Style2_Multiplier,FW_PPS_Capacity,Scrubber_Choice,Goodput_Mbps,Successful_Transactions,Avg_RTT_ms,P95_RTT_ms,FW_Packets_Processed,FW_Dropped_Mitigation,FW_Dropped_Queue,FW_Avg_Queue_Len,Scrubber1_ID,S1_Packets_Processed,S1_Dropped_Mitigation,S1_Dropped_Queue,S1_Avg_Queue_Len,Scrubber2_ID,S2_Packets_Processed,S2_Dropped_Mitigation,S2_Dropped_Queue,S2_Avg_Queue_Len,Server_Dropped_Queue
Style1-WideP_pps-60000_fw-20000,Distributed,ATTACK_STYLE_1,60000,N/A,20000,SW1,0.14,42,417.97,1183.04,166671,166645,13840,13387.83,SW1,200032,200000,0,5.50,SW2,200031,200000,0,5.50,0
Style1-GoodQ_pps-60000_fw-20000,Distributed,ATTACK_STYLE_1,60000,N/A,20000,SW3,0.13,39,334.61,1255.71,166670,166648,13839,13389.60,SW3,200032,200000,0,5.50,SW4,200030,200000,0,5.50,0
Style1-WideP_pps-60000_fw-40000,Distributed,ATTACK_STYLE_1,60000,N/A,40000,SW1,0.16,50,11.44,11.72,200034,200000,0,5.50,SW1,200034,200000,0,5.50,SW2,200032,200000,0,5.50,0
Style1-GoodQ_pps-60000_fw-40000,Distributed,ATTACK_STYLE_1,60000,N/A,40000,SW3,0.16,50,16.30,18.66,200034,200000,0,5.50,SW3,200034,200000,0,5.50,SW4,200032,200000,0,5.50,0
Style1-WideP_pps-70000_fw-20000,Distributed,ATTACK_STYLE_1,70000,N/A,20000,SW1,0.11,33,280.25,1183.06,166669,166654,47173,15945.46,SW1,233371,233340,0,5.50,SW2,233370,233340,0,5.50,0
Style1-GoodQ_pps-70000_fw-20000,Distributed,ATTACK_STYLE_1,70000,N/A,20000,SW3,0.11,33,286.41,1188.96,166669,166654,47173,15945.46,SW3,233371,233340,0,5.50,SW4,233370,233340,0,5.50,0
Style1-WideP_pps-70000_fw-40000,Distributed,ATTACK_STYLE_1,70000,N/A,40000,SW1,0.16,50,11.49,11.87,233368,233333,0,5.50,SW1,233374,233340,0,5.50,SW2,233372,233340,0,5.50,0
Style1-GoodQ_pps-70000_fw-40000,Distributed,ATTACK_STYLE_1,70000,N/A,40000,SW3,0.16,50,16.35,18.66,233368,233333,0,5.50,SW3,233374,233340,0,5.50,SW4,233372,233340,0,5.50,0
Style1-WideP_pps-80000_fw-20000,Distributed,ATTACK_STYLE_1,80000,N/A,20000,SW1,0.09,27,141.08,820.53,166668,166660,80505,16798.64,SW1,266699,266670,0,5.50,SW2,266698,266670,0,5.50,0
Style1-GoodQ_pps-80000_fw-20000,Distributed,ATTACK_STYLE_1,80000,N/A,20000,SW3,0.09,27,147.65,823.98,166668,166660,80505,16798.64,SW3,266699,266670,0,5.50,SW4,266698,266670,0,5.50,0
Style1-WideP_pps-80000_fw-40000,Distributed,ATTACK_STYLE_1,80000,N/A,40000,SW1,0.16,50,11.40,11.61,266701,266666,0,5.50,SW1,266704,266670,0,5.50,SW2,266702,266670,0,5.50,0
Style1-GoodQ_pps-80000_fw-40000,Distributed,ATTACK_STYLE_1,80000,N/A,40000,SW3,0.16,50,16.27,18.66,266701,266666,0,5.50,SW3,266704,266670,0,5.50,SW4,266702,266670,0,5.50,0
Style1-WideP_pps-90000_fw-20000,Distributed,ATTACK_STYLE_1,90000,N/A,20000,SW1,0.09,28,176.00,1167.87,166668,166659,113836,17224.47,SW1,300030,300000,0,5.50,SW2,300028,300000,0,5.50,0
Style1-GoodQ_pps-90000_fw-20000,Distributed,ATTACK_STYLE_1,90000,N/A,20000,SW3,0.09,28,182.63,1172.75,166668,166659,113836,17224.47,SW3,300030,300000,0,5.50,SW4,300028,300000,0,5.50,0
Style1-WideP_pps-90000_fw-40000,Distributed,ATTACK_STYLE_1,90000,N/A,40000,SW1,0.16,48,164.43,439.02,285724,285691,0,7160.24,SW1,300033,300000,0,5.50,SW2,300032,300000,0,5.50,0
Style1-GoodQ_pps-90000_fw-40000,Distributed,ATTACK_STYLE_1,90000,N/A,40000,SW3,0.16,48,169.40,442.22,285724,285691,0,7160.24,SW3,300033,300000,0,5.50,SW4,300032,300000,0,5.50,0
Style1-WideP_pps-120000_fw-20000,Distributed,ATTACK_STYLE_1,120000,N/A,20000,SW1,0.09,27,184.20,1183.07,166668,166660,213835,17773.08,SW1,400030,400000,0,5.50,SW2,400028,400000,0,5.50,0
Style1-GoodQ_pps-120000_fw-20000,Distributed,ATTACK_STYLE_1,120000,N/A,20000,SW3,0.09,27,190.99,1188.96,166668,166660,213835,17773.07,SW3,400030,400000,0,5.50,SW4,400028,400000,0,5.50,0
Style1-WideP_pps-120000_fw-40000,Distributed,ATTACK_STYLE_1,120000,N/A,40000,SW1,0.11,35,311.29,694.81,285720,285700,94791,17341.80,SW1,400033,400000,0,5.50,SW2,400032,400000,0,5.50,0
Style1-GoodQ_pps-120000_fw-40000,Distributed,ATTACK_STYLE_1,120000,N/A,40000,SW3,0.11,35,317.52,700.70,285720,285700,94791,17341.80,SW3,400033,400000,0,5.50,SW4,400032,400000,0,5.50,0
Style1-WideP_pps-180000_fw-20000,Distributed,ATTACK_STYLE_1,180000,N/A,20000,SW1,0.08,23,12.65,11.29,166667,166664,413833,18112.12,SW1,600028,600000,0,5.50,SW2,600027,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-20000,Distributed,ATTACK_STYLE_1,180000,N/A,20000,SW3,0.08,23,19.70,18.66,166667,166664,413833,18112.12,SW3,600028,600000,0,5.50,SW4,600027,600000,0,5.50,0
Style1-WideP_pps-180000_fw-40000,Distributed,ATTACK_STYLE_1,180000,N/A,40000,SW1,0.11,33,321.67,694.81,285719,285701,294789,18335.80,SW1,600033,600000,0,5.50,SW2,600032,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-40000,Distributed,ATTACK_STYLE_1,180000,N/A,40000,SW3,0.11,33,328.14,700.70,285719,285701,294789,18335.80,SW3,600033,600000,0,5.50,SW4,600032,600000,0,5.50,0
