Run_ID,Scenario_Type,Attack_Style,Attack_PPS,Attack_Style2_Multiplier,FW_PPS_Capacity,Scrubber_Choice,Goodput_Mbps,Successful_Transactions,Avg_RTT_ms,P95_RTT_ms,FW_Packets_Processed,FW_Dropped_Mitigation,FW_Dropped_Queue,FW_Avg_Queue_Len,Scrubber1_ID,S1_Packets_Processed,S1_Dropped_Mitigation,S1_Dropped_Queue,S1_Avg_Queue_Len,Scrubber2_ID,S2_Packets_Processed,S2_Dropped_Mitigation,S2_Dropped_Queue,S2_Avg_Queue_Len,Server_Dropped_Queue
Style1-WideP_pps-60000_fw-8000,Distributed,ATTACK_STYLE_1,60000,N/A,8000,SW1,0.09,26,189.90,1305.66,74075,74069,106427,16294.25,SW1,200029,200000,0,5.50,SW2,200028,200000,0,5.50,0
Style1-GoodQ_pps-60000_fw-8000,Distributed,ATTACK_STYLE_1,60000,N/A,8000,SW3,0.09,26,258.56,1351.92,74075,74069,106427,16294.22,SW3,200029,200000,0,5.50,SW4,200028,200000,0,5.50,0
Style1-WideP_pps-60000_fw-12000,Distributed,ATTACK_STYLE_1,60000,N/A,12000,SW1,0.09,27,205.37,1183.80,107144,107136,73360,16287.54,SW1,200029,200000,0,5.50,SW2,200028,200000,0,5.50,0
Style1-GoodQ_pps-60000_fw-12000,Distributed,ATTACK_STYLE_1,60000,N/A,12000,SW3,0.09,27,271.35,1221.09,107144,107136,73360,16287.52,SW3,200029,200000,0,5.50,SW4,200028,200000,0,5.50,0
Style1-WideP_pps-120000_fw-8000,Distributed,ATTACK_STYLE_1,120000,N/A,8000,SW1,0.08,23,20.81,18.66,74075,74072,306425,17030.23,SW1,400028,400000,0,5.50,SW2,400027,400000,0,5.50,0
Style1-GoodQ_pps-120000_fw-8000,Distributed,ATTACK_STYLE_1,120000,N/A,8000,SW3,0.08,23,91.34,92.39,74075,74072,306425,17030.23,SW3,400028,400000,0,5.50,SW4,400027,400000,0,5.50,0
Style1-WideP_pps-120000_fw-12000,Distributed,ATTACK_STYLE_1,120000,N/A,12000,SW1,0.08,24,19.77,18.66,107144,107140,273357,17473.96,SW1,400029,400000,0,5.50,SW2,400027,400000,0,5.50,0
Style1-GoodQ_pps-120000_fw-12000,Distributed,ATTACK_STYLE_1,120000,N/A,12000,SW3,0.08,24,90.43,92.39,107144,107140,273357,17473.96,SW3,400029,400000,0,5.50,SW4,400027,400000,0,5.50,0
Style1-WideP_pps-180000_fw-8000,Distributed,ATTACK_STYLE_1,180000,N/A,8000,SW1,0.08,23,22.28,18.66,74075,74072,506425,17206.41,SW1,600028,600000,0,5.50,SW2,600027,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-8000,Distributed,ATTACK_STYLE_1,180000,N/A,8000,SW3,0.08,23,92.80,92.39,74075,74072,506425,17206.41,SW3,600028,600000,0,5.50,SW4,600027,600000,0,5.50,0
Style1-WideP_pps-180000_fw-12000,Distributed,ATTACK_STYLE_1,180000,N/A,12000,SW1,0.08,23,20.80,18.66,107143,107140,473356,17697.83,SW1,600028,600000,0,5.50,SW2,600027,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-12000,Distributed,ATTACK_STYLE_1,180000,N/A,12000,SW3,0.08,23,91.32,92.39,107143,107140,473356,17697.83,SW3,600028,600000,0,5.50,SW4,600027,600000,0,5.50,0
Style1-WideP_pps-210000_fw-8000,Distributed,ATTACK_STYLE_1,210000,N/A,8000,SW1,0.08,23,22.99,18.66,74075,74072,606424,17252.36,SW1,700028,700000,0,5.50,SW2,700027,700000,0,5.50,0
Style1-GoodQ_pps-210000_fw-8000,Distributed,ATTACK_STYLE_1,210000,N/A,8000,SW3,0.08,23,93.51,92.39,74075,74072,606424,17252.36,SW3,700028,700000,0,5.50,SW4,700027,700000,0,5.50,0
Style1-WideP_pps-210000_fw-12000,Distributed,ATTACK_STYLE_1,210000,N/A,12000,SW1,0.08,23,21.28,18.66,107143,107140,573356,17753.08,SW1,700028,700000,0,5.50,SW2,700027,700000,0,5.50,0
Style1-GoodQ_pps-210000_fw-12000,Distributed,ATTACK_STYLE_1,210000,N/A,12000,SW3,0.08,23,91.81,92.39,107143,107140,573356,17753.08,SW3,700028,700000,0,5.50,SW4,700027,700000,0,5.50,0
Style1-WideP_pps-250000_fw-8000,Distributed,ATTACK_STYLE_1,250000,N/A,8000,SW1,0.08,23,23.92,18.66,74075,74072,739764,17294.72,SW1,833368,833340,0,5.50,SW2,833367,833340,0,5.50,0
Style1-GoodQ_pps-250000_fw-8000,Distributed,ATTACK_STYLE_1,250000,N/A,8000,SW3,0.08,23,94.45,92.40,74075,74072,739764,17294.72,SW3,833368,833340,0,5.50,SW4,833367,833340,0,5.50,0
Style1-WideP_pps-250000_fw-12000,Distributed,ATTACK_STYLE_1,250000,N/A,12000,SW1,0.08,23,21.89,18.66,107143,107140,706695,17803.12,SW1,833368,833340,0,5.50,SW2,833367,833340,0,5.50,0
Style1-GoodQ_pps-250000_fw-12000,Distributed,ATTACK_STYLE_1,250000,N/A,12000,SW3,0.08,23,92.42,92.40,107143,107140,706695,17803.12,SW3,833368,833340,0,5.50,SW4,833367,833340,0,5.50,0
Style1-WideP_pps-300000_fw-8000,Distributed,ATTACK_STYLE_1,300000,N/A,8000,SW1,0.08,23,25.16,18.66,74075,74072,906424,17330.48,SW1,1000028,1000000,0,5.50,SW2,1000027,1000000,0,5.50,0
Style1-GoodQ_pps-300000_fw-8000,Distributed,ATTACK_STYLE_1,300000,N/A,8000,SW3,0.08,23,95.69,92.40,74075,74072,906424,17330.48,SW3,1000028,1000000,0,5.50,SW4,1000027,1000000,0,5.50,0
Style1-WideP_pps-300000_fw-12000,Distributed,ATTACK_STYLE_1,300000,N/A,12000,SW1,0.08,23,22.70,18.66,107143,107140,873355,17844.69,SW1,1000028,1000000,0,5.50,SW2,1000027,1000000,0,5.50,0
