Run_ID,Scenario_Type,Attack_Style,Attack_PPS,Attack_Style2_Multiplier,FW_PPS_Capacity,Scrubber_Choice,Goodput_Mbps,Successful_Transactions,Avg_RTT_ms,P95_RTT_ms,FW_Packets_Processed,FW_Dropped_Mitigation,FW_Dropped_Queue,FW_Avg_Queue_Len,Scrubber1_ID,S1_Packets_Processed,S1_Dropped_Mitigation,S1_Dropped_Queue,S1_Avg_Queue_Len,Scrubber2_ID,S2_Packets_Processed,S2_Dropped_Mitigation,S2_Dropped_Queue,S2_Avg_Queue_Len,Server_Dropped_Queue
Style1-WideP_pps-60000_fw-12000,Distributed,ATTACK_STYLE_1,60000,N/A,12000,SW1,0.45,137,159.87,1131.83,107150,107082,73466,16278.97,SW1,200130,200000,0,5.50,SW2,200128,200000,0,5.50,0
Style1-GoodQ_pps-60000_fw-12000,Distributed,ATTACK_STYLE_1,60000,N/A,12000,SW3,0.45,136,249.86,1301.45,107150,107082,73466,16278.90,SW3,200129,200000,0,5.50,SW4,200128,200000,0,5.50,0
Style1-WideP_pps-180000_fw-8000,Distributed,ATTACK_STYLE_1,180000,N/A,8000,SW1,0.31,96,124.60,405.77,74075,74063,506511,17204.05,SW1,600114,600000,0,5.50,SW2,600113,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-8000,Distributed,ATTACK_STYLE_1,180000,N/A,8000,SW3,0.31,95,198.53,469.07,74075,74063,506511,17203.98,SW3,600114,600000,0,5.50,SW4,600112,600000,0,5.50,0
Style1-WideP_pps-180000_fw-12000,Distributed,ATTACK_STYLE_1,180000,N/A,12000,SW1,0.37,114,379.84,1840.84,107147,107108,473457,17691.27,SW1,600123,600000,0,5.50,SW2,600122,600000,0,5.50,0
Style1-GoodQ_pps-180000_fw-12000,Distributed,ATTACK_STYLE_1,180000,N/A,12000,SW3,0.37,114,450.11,1899.82,107147,107108,473457,17691.22,SW3,600123,600000,0,5.50,SW4,600122,600000,0,5.50,0
Style1-WideP_pps-250000_fw-8000,Distributed,ATTACK_STYLE_1,250000,N/A,8000,SW1,0.30,92,62.28,18.66,74075,74070,739846,17293.45,SW1,833452,833340,0,5.50,SW2,833451,833340,0,5.50,0
Style1-GoodQ_pps-250000_fw-8000,Distributed,ATTACK_STYLE_1,250000,N/A,8000,SW3,0.30,91,136.53,92.40,74075,74070,739846,17293.35,SW3,833452,833340,0,5.50,SW4,833450,833340,0,5.50,0
Style1-WideP_pps-250000_fw-12000,Distributed,ATTACK_STYLE_1,250000,N/A,12000,SW1,0.31,94,104.85,474.08,107144,107136,706778,17801.78,SW1,833453,833340,0,5.50,SW2,833452,833340,0,5.50,0
Style1-GoodQ_pps-250000_fw-12000,Distributed,ATTACK_STYLE_1,250000,N/A,12000,SW3,0.30,93,178.54,542.16,107144,107136,706778,17801.71,SW3,833453,833340,0,5.50,SW4,833451,833340,0,5.50,0
Style1-WideP_pps-350000_fw-8000,Distributed,ATTACK_STYLE_1,350000,N/A,8000,SW1,0.30,91,23.38,18.66,74075,74071,1073177,17355.02,SW1,1166782,1166670,0,5.50,SW2,1166781,1166670,0,5.50,0
Style1-GoodQ_pps-350000_fw-8000,Distributed,ATTACK_STYLE_1,350000,N/A,8000,SW3,0.29,90,96.34,92.40,74075,74071,1073177,17355.02,SW3,1166782,1166670,0,5.50,SW4,1166780,1166670,0,5.50,0
Style1-WideP_pps-350000_fw-12000,Distributed,ATTACK_STYLE_1,350000,N/A,12000,SW1,0.30,91,37.77,18.66,107144,107140,1040108,17872.99,SW1,1166782,1166670,0,5.50,SW2,1166781,1166670,0,5.50,0
Style1-GoodQ_pps-350000_fw-12000,Distributed,ATTACK_STYLE_1,350000,N/A,12000,SW3,0.29,90,110.73,92.40,107144,107140,1040108,17872.99,SW3,1166782,1166670,0,5.50,SW4,1166780,1166670,0,5.50,0
